date,industry,official_limit_down_count,sealed_amount_cny
2026-09-04,传媒,1,30500478.0
2026-09-04,基础化工,1,1333049.0
2026-09-04,建筑材料,1,19380882.0
2026-09-04,汽车,1,7379235.0
2026-09-04,煤炭,1,152258862.0
2026-09-04,社会服务,1,1634894.0
2026-09-04,纺织服饰,1,61664790.0
2026-09-04,计算机,2,75777918.0
2026-09-07,纺织服饰,1,336051033.0
2026-09-07,轻工制造,1,152896238.0
2026-09-09,传媒,2,149897640.0
2026-09-09,农林牧渔,1,2245697.0
2026-09-09,商贸零售,1,31788396.0
2026-09-09,电子,1,96430140.0
2026-09-09,计算机,1,52603071.0
2026-09-09,轻工制造,1,52333380.0
2026-09-10,农林牧渔,2,172392534.0
2026-09-10,医药生物,2,2186594.0
2026-09-10,基础化工,1,32719747.0
2026-09-10,机械设备,1,7173160.0
2026-09-10,电子,2,79685042.0
2026-09-10,纺织服饰,1,130969666.0
2026-09-10,通信,2,110901259.0
2026-09-11,交通运输,1,31273529.0
2026-09-11,传媒,1,38302705.0
2026-09-11,农林牧渔,2,199051751.0
2026-09-11,医药生物,1,27538596.0
2026-09-11,商贸零售,2,72969560.0
2026-09-11,基础化工,1,113293253.0
2026-09-11,家用电器,2,56850996.0
2026-09-11,有色金属,2,156528715.0
2026-09-11,电子,1,49283017.0
2026-09-11,社会服务,2,44624612.0
2026-09-11,纺织服饰,1,18847845.0
2026-09-11,综合,1,90965165.0
2026-09-11,轻工制造,1,10271723.0
2026-09-11,非银金融,1,29405150.0
2026-09-11,食品饮料,2,102847427.0
2026-09-14,交通运输,1,48031602.0
2026-09-14,传媒,1,357435170.0
2026-09-14,农林牧渔,4,445868305.0
2026-09-14,商贸零售,1,81381458.0
2026-09-14,基础化工,1,894398.0
2026-09-14,有色金属,1,105361345.0
2026-09-14,机械设备,1,5090118.0
2026-09-14,电子,1,54761332.0
2026-09-14,社会服务,2,87824261.0
2026-09-14,综合,1,55324997.0
2026-09-14,计算机,1,117450.0
2026-09-14,轻工制造,1,32954383.0
2026-09-15,传媒,1,69934656.0
2026-09-15,农林牧渔,4,823018760.0
2026-09-15,商贸零售,6,789225953.0
2026-09-15,国防军工,1,39297453.0
2026-09-15,基础化工,2,88098614.0
2026-09-15,建筑装饰,1,12958173.0
2026-09-15,汽车,2,61861931.0
2026-09-15,电力设备,2,351464020.0
2026-09-15,电子,1,117328254.0
2026-09-15,社会服务,4,402595853.0
2026-09-15,综合,1,36844736.0
2026-09-15,美容护理,1,6024368.0
2026-09-15,轻工制造,1,58499014.0
2026-09-16,商贸零售,1,239625869.0
2026-09-16,社会服务,1,370765004.0
2026-09-16,计算机,2,568086077.0
2026-09-17,建筑装饰,1,461382.0
2026-09-21,农林牧渔,1,120796541.0
2026-09-21,建筑装饰,1,1926825.0
2026-09-22,房地产,1,4274868.0
2026-09-22,电子,1,7446996.0
2026-09-22,轻工制造,1,21829203.0
2026-09-23,交通运输,1,93441722.0
2026-09-23,传媒,3,136750551.0
2026-09-23,公用事业,1,460675282.0
2026-09-23,医药生物,1,48120483.0
2026-09-23,基础化工,1,9552456.0
2026-09-23,电力设备,1,19128786.0
2026-09-23,电子,1,10325195.0
2026-09-23,纺织服饰,1,126600400.0
2026-09-23,计算机,1,76053968.0
2026-09-23,通信,1,89899455.0
2026-09-23,,1,328070542.0
2026-09-24,传媒,1,1981083.0
2026-09-24,公用事业,1,11264059.0
2026-09-24,医药生物,1,171037680.0
2026-09-24,商贸零售,1,78793824.0
2026-09-24,基础化工,1,6999222.0
2026-09-24,房地产,1,81877580.0
2026-09-24,机械设备,1,373188384.0
2026-09-24,电子,2,389350612.0
2026-09-24,社会服务,1,64390018.0
2026-09-24,食品饮料,1,2913410.0
2026-09-24,,2,51753767.0
